title,genres,actors,release_date,imdb_rating,summary,poster_path,wiki_link
Company (film),Action | Crime | Drama,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas | Vivek Oberoi | Antara Mali | Akash Khurana | Madan Joshi | Bharat Dabholkar | Ganesh Yadav | Ashraf Ul Haq | Akshay Verma | Vijay Raaz | Mukesh Bhatt,15 April 2002 (India),8.0,A small-time gangster named Chandu teams up with Malik  a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies  becoming the most feared gangsters in Mumbai.,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/CompanyRGVPoster.jpg/220px-CompanyRGVPoster.jpg,https://en.wikipedia.org/wiki/Company_(film)
Awara Paagal Deewana,Action | Comedy | Crime,Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani | Amrita Arora | Aarti Chhabria | Paresh Rawal | Johnny Lever | Rahul Dev | Supriya Pilgaonkar | Om Puri,21 June 2002 (USA),6.2,A dentist's life turns into a roller coaster ride when he is unknowingly embroiled in gang wars.,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Awarapaagaldeewanadvd.jpg/220px-Awarapaagaldeewanadvd.jpg,https://en.wikipedia.org/wiki/Awara_Paagal_Deewana
Humraaz,Action | Musical | Romance,Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever,26 July 2002 (India),6.3,When a businessman learns that his wife married him only for money  he hatches a plan with her ex-lover to kill her.,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Humraaz.jpg/220px-Humraaz.jpg,https://en.wikipedia.org/wiki/Humraaz
16 December (film),Action | Thriller,Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma | Sushant Singh | Aditi Govitrikar,22 March 2002 (India),6.9,Indian intelligence agents race against time to stop a renegade Pakistani terrorist from detonating a nuclear weapon in Delhi.,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/16December.jpg/220px-16December.jpg,https://en.wikipedia.org/wiki/16_December_(film)
23rd March 1931: Shaheed,Biography | Drama | History,Bobby Deol | Sunny Deol | Amrita Singh | Rahul Dev | Vicky Ahuja | Suresh Oberoi | Shakti Kapoor | Divya Dutta | Akshay Anand | Aishwarya Rai Bachchan,7 June 2002 (USA),5.0,When his mentor Lala Lajpatrai is mercilessly beaten to death by the police Bhagat Singh is enraged and he sets about to avenge his death. He and his colleagues do succeed in killing one of...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/23rd_March_1931_Shaheed_poster.jpg/220px-23rd_March_1931_Shaheed_poster.jpg,https://en.wikipedia.org/wiki/23rd_March_1931:_Shaheed
Agni Varsha,Drama | Fantasy | Romance,Jackie Shroff | Kumar Iyengar | Raveena Tandon | Nagarjuna Akkineni | Ashfaq Rauf | Milind Soman | Sonali Kulkarni | Gopal Piplani | Prabhu Deva | Tarun Kapoor | Raghuvir Yadav | Mohan Agashe | Veena Sajnani | Sandeep B.G.,30 August 2002 (India),4.6,This is the story of wronged and misunderstood Arvasu (Milind Soman)  a brahman by caste  who has become a performing actor. He loves Nittilai (Sonali Kulkarni)  who reciprocates his love  ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Agni_Varsha.jpg/220px-Agni_Varsha.jpg,https://en.wikipedia.org/wiki/Agni_Varsha
Aap Mujhe Achche Lagne Lage,Action | Drama | Romance,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari | Nishigandha Wad | Shahbaaz Khan | Madhuri Sanjeev | Alok Nath | Jimmy Moses | Shaikh Sami | Ali Asgar | Hemant Pandey | Jasbir Thandi | Suchit Jadhav,19 April 2002 (USA),3.1,The daughter of a rich criminal industrial tycoon falls in love with a college boy. The tycoon  what a surprise  objects...,https://upload.wikimedia.org/wikipedia/en/8/8b/Aap_Mujhe_Achche_Lagne_Lage.jpg,https://en.wikipedia.org/wiki/Aap_Mujhe_Achche_Lagne_Lage
Annarth,Action | Crime | Drama,Sanjay Dutt | Sunil Shetty | Ashutosh Rana | Preeti Jhangiani | Tinnu Anand | Shweta Menon | Johnny Lever | Razak Khan | Gautam Rode | Vinod Kambli | Rajiv Thakker | Varsha | Heena Talwar | Dinesh Khandekar,1 November 2002 (India),3.1,Arch killer  Jai alias Jimmy usually follows instructions from his elder brother  Raghav who owes intelligence to an underworld don named Dayal Bhai. Jimmy whole-heartily trusts his ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Annarth_poster.jpg/220px-Annarth_poster.jpg,https://en.wikipedia.org/wiki/Annarth
Mujhse Dosti Karoge!,Drama | Family | Musical,Hrithik Roshan | Kareena Kapoor | Rani Mukerji | Uday Chopra | Satish Shah | Kiran Kumar | Smita Jaykar | Himani Shivpuri | Sachin Khedekar,9 August 2002 (India),5.0,A young man in England regularly mails his childhood sweetheart in India is unaware that the replies he receives are written by another girl.,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Mujhse_Dosti_Karoge_Film_Poster.jpg/220px-Mujhse_Dosti_Karoge_Film_Poster.jpg,https://en.wikipedia.org/wiki/Mujhse_Dosti_Karoge!
Bollywood Queen,Musical | Romance,Preeya Kalidas | James McAvoy | Ray Panthaki | Ciarán McMenamin | Kat Bhathena | Ian McShane | Amerjit Deu | Karen David,17 October 2003 (UK),4.6,A cross cultural romance set in London's East End about a young girl of Indian heritage.,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Bollywood_Queen_FilmPoster.jpeg/220px-Bollywood_Queen_FilmPoster.jpeg,https://en.wikipedia.org/wiki/Bollywood_Queen
Badhaai Ho Badhaai,Comedy | Drama | Musical,Anil Kapoor,14 June 2002 (USA),4.4,The D'Souza and the Chaddha families are neighbors and have been good friends for as long as they can remember  and despite their diverse religion and cultural beliefs  celebrate Diwali and...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Badhaai_Ho_Badhaai.jpg/220px-Badhaai_Ho_Badhaai.jpg,https://en.wikipedia.org/wiki/Badhaai_Ho_Badhaai
Chor Machaaye Shor,Action | Comedy | Crime,Bobby Deol | Om Puri | Paresh Rawal | Shekhar Suman | Shilpa Shetty Kundra | Bipasha Basu | Rajpal Yadav | Ashish Vidyarthi | Rajat Bedi | Dinesh Hingoo | Ghanshyam | Guddi Maruti | Nilofer Ramzan | Razak Khan,23 August 2002 (India),4.2,Fortunately  before his arrest Shyam manages to hide the diamonds at a nearby construction site  intending to return for it as soon as he gets out of prison. Two years pass and Shyam's ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Chormachayeshor.poster.jpg/220px-Chormachayeshor.poster.jpg,https://en.wikipedia.org/wiki/Chor_Machaaye_Shor
Chalo Ishq Ladaaye,Action | Comedy | Romance,Govinda | Kader Khan | Rani Mukerji | Zohra Sehgal | Mink Singh | Johnny Lever | Sanjay Suri | Asrani | Gulshan Grover | Ishrat Ali | Mushtaq Khan | Sheela Sharma | Sharad Sharma | Rizvi,27 December 2002 (India),4.4,Popular but lonely Bollywood actress  Rani  lives a fairly isolated life  through publicly she is thronged by fans  and has taken to drinking alcohol in a big way. Thus intoxicated she runs...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Chalo_Ishq_Ladaaye.jpg/220px-Chalo_Ishq_Ladaaye.jpg,https://en.wikipedia.org/wiki/Chalo_Ishq_Ladaaye
Bomb the System,Action | Drama,Mark Webber | Gano Grills | Jade Yorker | Jaclyn DeSantis | Joey Dedio | Stephen Buchanan | Al Sapienza | Bonz Malone | Donna Mitchell | Kumar Pallana | Blake Lethem | Dylan Mikson | Joshua Gustin | KaDee Strickland,December 2002 (USA),6.6,A tribute to graffiti art and the city where it all began. Blest  a 19-year-old graffiti writer  has just graduated from high school. With no ambition toward mainstream goals of work and ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Bomb_the_System_film_poster.jpg/220px-Bomb_the_System_film_poster.jpg,https://en.wikipedia.org/wiki/Bomb_the_System
